Date,Month,Product,Product Family,Quarter,Region EN,Select level,Territory EN,Year,Arrow up and down,CY Patients,"CY to PY, %","CY to PY, % negative (for tooltip)","CY to PY, % positive (for tooltip)",Diagnosed Patients,Number of Records,PY Patients
20/01/2019,1,Prd2,FAM1,1,Volga,FAM1,Saratov Oblast,2019,↓,0,-1,-1,,1,1,1
24/02/2019,2,Prd2,FAM1,1,Volga,FAM1,Saratov Oblast,2019,↓,0,-1,-1,,1,1,1
31/07/2019,7,Prd2,FAM1,3,Volga,FAM1,Tatarstan Republic,2019,↓,0,-1,-1,,1,1,1
14/10/2019,10,Prd2,FAM1,4,Volga,FAM1,Tatarstan Republic,2019,↓,0,-1,-1,,1,1,1
30/04/2020,4,Prd2,FAM1,2,Volga,FAM1,Udmurt Republic,2020,↓,1,0,,,1,1,1
19/12/2019,12,Prd2,FAM1,4,Central,FAM1,Belgorod Oblast,2019,↓,0,-1,-1,,1,1,1
02/02/2020,2,Prd2,FAM1,1,Central,FAM1,Ivanovo Oblast,2020,↓,1,0,,,1,1,1
15/03/2020,3,Prd2,FAM1,1,Central,FAM1,Kostroma Oblast,2020,↓,1,0,,,1,1,1
09/01/2020,1,Prd2,FAM1,1,Central,FAM1,Tambov Oblast,2020,↓,1,0,,,1,1,1
11/04/2019,4,Prd2,FAM1,2,E.Siberia & Far East,FAM1,Irkutsk Oblast,2019,↓,0,-1,-1,,1,1,1
01/04/2019,4,Prd2,FAM1,2,E.Siberia & Far East,FAM1,Krasnoyarsk Oblast,2019,↓,0,-1,-1,,1,1,1
08/04/2019,4,Prd2,FAM1,2,E.Siberia & Far East,FAM1,Krasnoyarsk Oblast,2019,↓,0,-1,-1,,1,1,1
02/06/2019,6,Prd2,FAM1,2,E.Siberia & Far East,FAM1,Krasnoyarsk Oblast,2019,↓,0,-1,-1,,1,1,1
01/01/2019,1,Prd2,FAM1,1,E.Siberia & Far East,FAM1,Novosibirsk Oblast,2019,↓,0,-1,-1,,1,1,1
14/01/2019,1,Prd2,FAM1,1,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
22/01/2019,1,Prd2,FAM1,1,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
