Date,Month,Product,Product Family,Quarter,Region EN,Select level,Territory EN,Year,Arrow up and down,CY Patients,"CY to PY, %","CY to PY, % negative (for tooltip)","CY to PY, % positive (for tooltip)",Diagnosed Patients,Number of Records,PY Patients
26/11/2019,11,Prd63,FAM26,4,E.Siberia & Far East,FAM26,Buryatia Republic,2019,↓,0,-1,-1,,2,1,2
11/12/2019,12,Prd63,FAM26,4,E.Siberia & Far East,FAM26,Buryatia Republic,2019,↓,0,-1,-1,,3,1,3
01/01/2019,1,Prd63,FAM26,1,E.Siberia & Far East,FAM26,Irkutsk Oblast,2019,↓,0,-1,-1,,1,1,1
01/02/2019,2,Prd63,FAM26,1,E.Siberia & Far East,FAM26,Irkutsk Oblast,2019,↓,0,-1,-1,,1,1,1
01/03/2019,3,Prd63,FAM26,1,E.Siberia & Far East,FAM26,Irkutsk Oblast,2019,↓,0,-1,-1,,2,1,2
01/04/2019,4,Prd63,FAM26,2,E.Siberia & Far East,FAM26,Irkutsk Oblast,2019,↓,0,-1,-1,,2,1,2
01/05/2019,5,Prd63,FAM26,2,E.Siberia & Far East,FAM26,Irkutsk Oblast,2019,↓,0,-1,-1,,1,1,1
25/10/2019,10,Prd63,FAM26,4,E.Siberia & Far East,FAM26,Irkutsk Oblast,2019,↓,0,-1,-1,,3,1,3
05/12/2019,12,Prd63,FAM26,4,E.Siberia & Far East,FAM26,Irkutsk Oblast,2019,↓,0,-1,-1,,2,1,2
18/05/2020,5,Prd63,FAM26,2,E.Siberia & Far East,FAM26,Irkutsk Oblast,2020,↓,1,0,,,1,1,1
05/06/2020,6,Prd63,FAM26,2,E.Siberia & Far East,FAM26,Irkutsk Oblast,2020,↓,1,0,,,1,1,1
24/06/2020,6,Prd63,FAM26,2,E.Siberia & Far East,FAM26,Irkutsk Oblast,2020,↓,1,0,,,1,1,1
01/03/2019,3,Prd63,FAM26,1,E.Siberia & Far East,FAM26,Khabarovsk Oblast,2019,↓,0,-1,-1,,1,1,1
01/06/2020,6,Prd63,FAM26,2,E.Siberia & Far East,FAM26,Khakassia,2020,↓,1,0,,,1,1,1
04/03/2019,3,Prd63,FAM26,1,E.Siberia & Far East,FAM26,Krasnoyarsk Oblast,2019,↓,0,-1,-1,,1,1,1
05/04/2019,4,Prd63,FAM26,2,E.Siberia & Far East,FAM26,Krasnoyarsk Oblast,2019,↓,0,-1,-1,,1,1,1
16/05/2019,5,Prd63,FAM26,2,E.Siberia & Far East,FAM26,Krasnoyarsk Oblast,2019,↓,0,-1,-1,,1,1,1
09/09/2019,9,Prd63,FAM26,3,E.Siberia & Far East,FAM26,Krasnoyarsk Oblast,2019,↓,0,-1,-1,,1,1,1
01/10/2019,10,Prd63,FAM26,4,E.Siberia & Far East,FAM26,Krasnoyarsk Oblast,2019,↓,0,-1,-1,,1,1,1
07/10/2019,10,Prd63,FAM26,4,E.Siberia & Far East,FAM26,Krasnoyarsk Oblast,2019,↓,0,-1,-1,,1,1,1
28/10/2019,10,Prd63,FAM26,4,E.Siberia & Far East,FAM26,Krasnoyarsk Oblast,2019,↓,0,-1,-1,,1,1,1
29/10/2019,10,Prd63,FAM26,4,E.Siberia & Far East,FAM26,Krasnoyarsk Oblast,2019,↓,0,-1,-1,,1,1,1
06/11/2019,11,Prd63,FAM26,4,E.Siberia & Far East,FAM26,Krasnoyarsk Oblast,2019,↓,0,-1,-1,,1,1,1
07/11/2019,11,Prd63,FAM26,4,E.Siberia & Far East,FAM26,Krasnoyarsk Oblast,2019,↓,0,-1,-1,,1,1,1
08/11/2019,11,Prd63,FAM26,4,E.Siberia & Far East,FAM26,Krasnoyarsk Oblast,2019,↓,0,-1,-1,,1,1,1
11/11/2019,11,Prd63,FAM26,4,E.Siberia & Far East,FAM26,Krasnoyarsk Oblast,2019,↓,0,-1,-1,,2,1,2
25/11/2019,11,Prd63,FAM26,4,E.Siberia & Far East,FAM26,Krasnoyarsk Oblast,2019,↓,0,-1,-1,,1,1,1
02/12/2019,12,Prd63,FAM26,4,E.Siberia & Far East,FAM26,Krasnoyarsk Oblast,2019,↓,0,-1,-1,,1,1,1
03/12/2019,12,Prd63,FAM26,4,E.Siberia & Far East,FAM26,Krasnoyarsk Oblast,2019,↓,0,-1,-1,,1,1,1
16/12/2019,12,Prd63,FAM26,4,E.Siberia & Far East,FAM26,Krasnoyarsk Oblast,2019,↓,0,-1,-1,,1,1,1
19/12/2019,12,Prd63,FAM26,4,E.Siberia & Far East,FAM26,Krasnoyarsk Oblast,2019,↓,0,-1,-1,,1,1,1
15/01/2020,1,Prd63,FAM26,1,E.Siberia & Far East,FAM26,Krasnoyarsk Oblast,2020,↓,3,0,,,3,1,3
16/01/2020,1,Prd63,FAM26,1,E.Siberia & Far East,FAM26,Krasnoyarsk Oblast,2020,↓,1,0,,,1,1,1
20/01/2020,1,Prd63,FAM26,1,E.Siberia & Far East,FAM26,Krasnoyarsk Oblast,2020,↓,1,0,,,1,1,1
22/01/2020,1,Prd63,FAM26,1,E.Siberia & Far East,FAM26,Krasnoyarsk Oblast,2020,↓,1,0,,,1,1,1
27/01/2020,1,Prd63,FAM26,1,E.Siberia & Far East,FAM26,Krasnoyarsk Oblast,2020,↓,3,0,,,3,1,3
28/01/2020,1,Prd63,FAM26,1,E.Siberia & Far East,FAM26,Krasnoyarsk Oblast,2020,↓,1,0,,,1,1,1
20/02/2020,2,Prd63,FAM26,1,E.Siberia & Far East,FAM26,Krasnoyarsk Oblast,2020,↓,1,0,,,1,1,1
13/03/2020,3,Prd63,FAM26,1,E.Siberia & Far East,FAM26,Krasnoyarsk Oblast,2020,↓,1,0,,,1,1,1
06/04/2020,4,Prd63,FAM26,2,E.Siberia & Far East,FAM26,Krasnoyarsk Oblast,2020,↓,1,0,,,1,1,1
07/04/2020,4,Prd63,FAM26,2,E.Siberia & Far East,FAM26,Krasnoyarsk Oblast,2020,↓,1,0,,,1,1,1
20/04/2020,4,Prd63,FAM26,2,E.Siberia & Far East,FAM26,Krasnoyarsk Oblast,2020,↓,1,0,,,1,1,1
13/05/2020,5,Prd63,FAM26,2,E.Siberia & Far East,FAM26,Krasnoyarsk Oblast,2020,↓,1,0,,,1,1,1
25/05/2020,5,Prd63,FAM26,2,E.Siberia & Far East,FAM26,Krasnoyarsk Oblast,2020,↓,1,0,,,1,1,1
28/05/2020,5,Prd63,FAM26,2,E.Siberia & Far East,FAM26,Krasnoyarsk Oblast,2020,↓,1,0,,,1,1,1
04/04/2019,4,Prd63,FAM26,2,E.Siberia & Far East,FAM26,Novosibirsk Oblast,2019,↓,0,-1,-1,,1,1,1
01/08/2019,8,Prd63,FAM26,3,E.Siberia & Far East,FAM26,Novosibirsk Oblast,2019,↓,0,-1,-1,,1,1,1
01/04/2020,4,Prd63,FAM26,2,E.Siberia & Far East,FAM26,Novosibirsk Oblast,2020,↓,1,0,,,1,1,1
20/04/2020,4,Prd63,FAM26,2,E.Siberia & Far East,FAM26,Novosibirsk Oblast,2020,↓,2,0,,,2,1,2
04/05/2020,5,Prd63,FAM26,2,E.Siberia & Far East,FAM26,Novosibirsk Oblast,2020,↓,1,0,,,1,1,1
11/05/2020,5,Prd63,FAM26,2,E.Siberia & Far East,FAM26,Novosibirsk Oblast,2020,↓,1,0,,,1,1,1
01/06/2020,6,Prd63,FAM26,2,E.Siberia & Far East,FAM26,Novosibirsk Oblast,2020,↓,1,0,,,1,1,1
12/04/2019,4,Prd63,FAM26,2,E.Siberia & Far East,FAM26,Primorsky Oblast,2019,↓,0,-1,-1,,1,1,1
18/04/2019,4,Prd63,FAM26,2,E.Siberia & Far East,FAM26,Primorsky Oblast,2019,↓,0,-1,-1,,1,1,1
30/04/2019,4,Prd63,FAM26,2,E.Siberia & Far East,FAM26,Primorsky Oblast,2019,↓,0,-1,-1,,1,1,1
01/11/2019,11,Prd63,FAM26,4,E.Siberia & Far East,FAM26,Primorsky Oblast,2019,↓,0,-1,-1,,1,1,1
01/12/2019,12,Prd63,FAM26,4,E.Siberia & Far East,FAM26,Primorsky Oblast,2019,↓,0,-1,-1,,2,1,2
01/04/2020,4,Prd63,FAM26,2,E.Siberia & Far East,FAM26,Primorsky Oblast,2020,↓,3,0,,,3,1,3
01/05/2020,5,Prd63,FAM26,2,E.Siberia & Far East,FAM26,Primorsky Oblast,2020,↓,2,0,,,2,1,2
31/05/2020,5,Prd63,FAM26,2,E.Siberia & Far East,FAM26,Primorsky Oblast,2020,↓,1,0,,,1,1,1
01/06/2020,6,Prd63,FAM26,2,E.Siberia & Far East,FAM26,Primorsky Oblast,2020,↓,1,0,,,1,1,1
30/06/2020,6,Prd63,FAM26,2,E.Siberia & Far East,FAM26,Primorsky Oblast,2020,↓,2,0,,,2,1,2
15/01/2020,1,Prd63,FAM26,1,E.Siberia & Far East,FAM26,Sakha Republic,2020,↓,1,0,,,1,1,1
25/05/2020,5,Prd63,FAM26,2,E.Siberia & Far East,FAM26,Sakha Republic,2020,↓,1,0,,,1,1,1
05/04/2019,4,Prd63,FAM26,2,E.Siberia & Far East,FAM26,Sakhalin Oblast,2019,↓,0,-1,-1,,1,1,1
31/05/2020,5,Prd63,FAM26,2,E.Siberia & Far East,FAM26,Sakhalin Oblast,2020,↓,1,0,,,1,1,1
01/06/2020,6,Prd63,FAM26,2,E.Siberia & Far East,FAM26,Sakhalin Oblast,2020,↓,4,0,,,4,1,4
30/06/2020,6,Prd63,FAM26,2,E.Siberia & Far East,FAM26,Sakhalin Oblast,2020,↓,1,0,,,1,1,1
22/06/2020,6,Prd63,FAM26,2,E.Siberia & Far East,FAM26,Zabaykalsky Oblast,2020,↓,1,0,,,1,1,1
01/01/2019,1,Prd63,FAM26,1,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,4,1,4
12/01/2019,1,Prd63,FAM26,1,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
27/01/2019,1,Prd63,FAM26,1,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
28/01/2019,1,Prd63,FAM26,1,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
29/01/2019,1,Prd63,FAM26,1,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
30/01/2019,1,Prd63,FAM26,1,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
01/02/2019,2,Prd63,FAM26,1,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
03/02/2019,2,Prd63,FAM26,1,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,13,1,13
07/02/2019,2,Prd63,FAM26,1,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,3,1,3
11/02/2019,2,Prd63,FAM26,1,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,6,1,6
21/02/2019,2,Prd63,FAM26,1,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
24/02/2019,2,Prd63,FAM26,1,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
25/02/2019,2,Prd63,FAM26,1,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
01/03/2019,3,Prd63,FAM26,1,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
02/03/2019,3,Prd63,FAM26,1,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
03/03/2019,3,Prd63,FAM26,1,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,2,1,2
04/03/2019,3,Prd63,FAM26,1,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,3,1,3
06/03/2019,3,Prd63,FAM26,1,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
07/03/2019,3,Prd63,FAM26,1,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,3,1,3
10/03/2019,3,Prd63,FAM26,1,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,4,1,4
11/03/2019,3,Prd63,FAM26,1,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,4,1,4
12/03/2019,3,Prd63,FAM26,1,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,2,1,2
13/03/2019,3,Prd63,FAM26,1,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,2,1,2
14/03/2019,3,Prd63,FAM26,1,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
16/03/2019,3,Prd63,FAM26,1,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,4,1,4
17/03/2019,3,Prd63,FAM26,1,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,5,1,5
18/03/2019,3,Prd63,FAM26,1,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,2,1,2
19/03/2019,3,Prd63,FAM26,1,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
28/03/2019,3,Prd63,FAM26,1,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,2,1,2
29/03/2019,3,Prd63,FAM26,1,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,2,1,2
30/03/2019,3,Prd63,FAM26,1,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
03/04/2019,4,Prd63,FAM26,2,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
04/04/2019,4,Prd63,FAM26,2,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
07/04/2019,4,Prd63,FAM26,2,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,3,1,3
08/04/2019,4,Prd63,FAM26,2,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,4,1,4
09/04/2019,4,Prd63,FAM26,2,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,5,1,5
12/04/2019,4,Prd63,FAM26,2,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
15/04/2019,4,Prd63,FAM26,2,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,3,1,3
16/04/2019,4,Prd63,FAM26,2,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,3,1,3
17/04/2019,4,Prd63,FAM26,2,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
18/04/2019,4,Prd63,FAM26,2,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,3,1,3
21/04/2019,4,Prd63,FAM26,2,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
22/04/2019,4,Prd63,FAM26,2,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
23/04/2019,4,Prd63,FAM26,2,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
30/04/2019,4,Prd63,FAM26,2,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
05/05/2019,5,Prd63,FAM26,2,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,2,1,2
06/05/2019,5,Prd63,FAM26,2,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,6,1,6
07/05/2019,5,Prd63,FAM26,2,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
09/05/2019,5,Prd63,FAM26,2,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
13/05/2019,5,Prd63,FAM26,2,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,6,1,6
14/05/2019,5,Prd63,FAM26,2,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,2,1,2
17/05/2019,5,Prd63,FAM26,2,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,2,1,2
24/05/2019,5,Prd63,FAM26,2,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
27/05/2019,5,Prd63,FAM26,2,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,2,1,2
02/06/2019,6,Prd63,FAM26,2,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,4,1,4
03/06/2019,6,Prd63,FAM26,2,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,4,1,4
04/06/2019,6,Prd63,FAM26,2,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,5,1,5
08/06/2019,6,Prd63,FAM26,2,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
09/06/2019,6,Prd63,FAM26,2,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,6,1,6
10/06/2019,6,Prd63,FAM26,2,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
14/06/2019,6,Prd63,FAM26,2,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
17/06/2019,6,Prd63,FAM26,2,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
25/06/2019,6,Prd63,FAM26,2,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
01/07/2019,7,Prd63,FAM26,3,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
02/07/2019,7,Prd63,FAM26,3,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
04/07/2019,7,Prd63,FAM26,3,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
07/07/2019,7,Prd63,FAM26,3,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
09/07/2019,7,Prd63,FAM26,3,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
10/07/2019,7,Prd63,FAM26,3,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
11/07/2019,7,Prd63,FAM26,3,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
13/07/2019,7,Prd63,FAM26,3,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,2,1,2
15/07/2019,7,Prd63,FAM26,3,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,3,1,3
16/07/2019,7,Prd63,FAM26,3,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,3,1,3
01/08/2019,8,Prd63,FAM26,3,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,2,1,2
19/08/2019,8,Prd63,FAM26,3,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
01/09/2019,9,Prd63,FAM26,3,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,2,1,2
02/09/2019,9,Prd63,FAM26,3,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,2,1,2
01/10/2019,10,Prd63,FAM26,4,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,3,1,3
20/10/2019,10,Prd63,FAM26,4,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
01/11/2019,11,Prd63,FAM26,4,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,12,1,12
07/11/2019,11,Prd63,FAM26,4,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
14/11/2019,11,Prd63,FAM26,4,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,4,1,4
26/11/2019,11,Prd63,FAM26,4,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
10/12/2019,12,Prd63,FAM26,4,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
11/12/2019,12,Prd63,FAM26,4,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,2,1,2
13/12/2019,12,Prd63,FAM26,4,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
19/12/2019,12,Prd63,FAM26,4,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,3,1,3
27/12/2019,12,Prd63,FAM26,4,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
30/12/2019,12,Prd63,FAM26,4,Moscow,FAM26,Moscow,2019,↓,0,-1,-1,,1,1,1
01/01/2020,1,Prd63,FAM26,1,Moscow,FAM26,Moscow,2020,↓,6,0,,,6,1,6
15/01/2020,1,Prd63,FAM26,1,Moscow,FAM26,Moscow,2020,↓,1,0,,,1,1,1
01/02/2020,2,Prd63,FAM26,1,Moscow,FAM26,Moscow,2020,↓,1,0,,,1,1,1
02/02/2020,2,Prd63,FAM26,1,Moscow,FAM26,Moscow,2020,↓,5,0,,,5,1,5
24/02/2020,2,Prd63,FAM26,1,Moscow,FAM26,Moscow,2020,↓,1,0,,,1,1,1
01/03/2020,3,Prd63,FAM26,1,Moscow,FAM26,Moscow,2020,↓,2,0,,,2,1,2
03/03/2020,3,Prd63,FAM26,1,Moscow,FAM26,Moscow,2020,↓,2,0,,,2,1,2
12/03/2020,3,Prd63,FAM26,1,Moscow,FAM26,Moscow,2020,↓,1,0,,,1,1,1
01/04/2020,4,Prd63,FAM26,2,Moscow,FAM26,Moscow,2020,↓,2,0,,,2,1,2
07/04/2020,4,Prd63,FAM26,2,Moscow,FAM26,Moscow,2020,↓,1,0,,,1,1,1
01/05/2020,5,Prd63,FAM26,2,Moscow,FAM26,Moscow,2020,↓,13,0,,,13,1,13
01/06/2020,6,Prd63,FAM26,2,Moscow,FAM26,Moscow,2020,↓,11,0,,,11,1,11
30/06/2020,6,Prd63,FAM26,2,Moscow,FAM26,Moscow,2020,↓,1,0,,,1,1,1
01/01/2019,1,Prd63,FAM26,1,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,2,1,2
09/01/2019,1,Prd63,FAM26,1,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,3,1,3
03/02/2019,2,Prd63,FAM26,1,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,1,1,1
08/02/2019,2,Prd63,FAM26,1,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,1,1,1
20/02/2019,2,Prd63,FAM26,1,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,1,1,1
04/03/2019,3,Prd63,FAM26,1,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,1,1,1
05/03/2019,3,Prd63,FAM26,1,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,1,1,1
06/03/2019,3,Prd63,FAM26,1,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,1,1,1
07/03/2019,3,Prd63,FAM26,1,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,1,1,1
25/04/2019,4,Prd63,FAM26,2,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,1,1,1
01/05/2019,5,Prd63,FAM26,2,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,1,1,1
10/05/2019,5,Prd63,FAM26,2,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,1,1,1
14/05/2019,5,Prd63,FAM26,2,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,2,1,2
16/05/2019,5,Prd63,FAM26,2,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,1,1,1
19/05/2019,5,Prd63,FAM26,2,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,1,1,1
30/05/2019,5,Prd63,FAM26,2,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,1,1,1
09/06/2019,6,Prd63,FAM26,2,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,1,1,1
10/06/2019,6,Prd63,FAM26,2,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,1,1,1
10/07/2019,7,Prd63,FAM26,3,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,1,1,1
11/07/2019,7,Prd63,FAM26,3,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,1,1,1
18/07/2019,7,Prd63,FAM26,3,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,1,1,1
01/08/2019,8,Prd63,FAM26,3,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,1,1,1
05/08/2019,8,Prd63,FAM26,3,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,1,1,1
11/08/2019,8,Prd63,FAM26,3,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,1,1,1
13/08/2019,8,Prd63,FAM26,3,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,1,1,1
14/08/2019,8,Prd63,FAM26,3,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,2,1,2
03/09/2019,9,Prd63,FAM26,3,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,1,1,1
09/09/2019,9,Prd63,FAM26,3,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,1,1,1
23/09/2019,9,Prd63,FAM26,3,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,1,1,1
24/09/2019,9,Prd63,FAM26,3,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,2,1,2
01/10/2019,10,Prd63,FAM26,4,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,2,1,2
02/10/2019,10,Prd63,FAM26,4,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,2,1,2
07/10/2019,10,Prd63,FAM26,4,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,1,1,1
08/10/2019,10,Prd63,FAM26,4,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,1,1,1
16/10/2019,10,Prd63,FAM26,4,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,2,1,2
18/10/2019,10,Prd63,FAM26,4,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,1,1,1
22/10/2019,10,Prd63,FAM26,4,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,1,1,1
23/10/2019,10,Prd63,FAM26,4,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,3,1,3
29/10/2019,10,Prd63,FAM26,4,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,1,1,1
30/10/2019,10,Prd63,FAM26,4,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,1,1,1
01/11/2019,11,Prd63,FAM26,4,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,1,1,1
03/11/2019,11,Prd63,FAM26,4,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,1,1,1
04/11/2019,11,Prd63,FAM26,4,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,1,1,1
06/11/2019,11,Prd63,FAM26,4,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,3,1,3
12/11/2019,11,Prd63,FAM26,4,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,1,1,1
13/11/2019,11,Prd63,FAM26,4,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,2,1,2
18/11/2019,11,Prd63,FAM26,4,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,1,1,1
20/11/2019,11,Prd63,FAM26,4,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,3,1,3
27/11/2019,11,Prd63,FAM26,4,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,1,1,1
28/11/2019,11,Prd63,FAM26,4,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,1,1,1
03/12/2019,12,Prd63,FAM26,4,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,1,1,1
04/12/2019,12,Prd63,FAM26,4,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,2,1,2
05/12/2019,12,Prd63,FAM26,4,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,3,1,3
09/12/2019,12,Prd63,FAM26,4,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,3,1,3
10/12/2019,12,Prd63,FAM26,4,Moscow Region,FAM26,Moscow Region,2019,↓,0,-1,-1,,2,1,2
